"Dátum","Gép","Kezdő időpont","Záró időpont","Megrendelésszám"
"2020.07.20.","Vágó-1","06:00","14:00","MEGR003"
"2020.07.20.","Vágó-2","06:00","14:00","MEGR003"
"2020.07.20.","Hajlító-1","06:06","13:51","MEGR003"
"2020.07.20.","Hajlító-2","06:06","13:51","MEGR003"
"2020.07.20.","Hegesztő-1","06:21","13:51","MEGR003"
"2020.07.20.","Hegesztő-2","06:21","13:51","MEGR003"
"2020.07.20.","Tesztelő-1","06:31","13:56","MEGR003"
"2020.07.20.","Festő-1","06:36","13:51","MEGR003"
"2020.07.20.","Festő-2","06:36","13:51","MEGR003"
"2020.07.20.","Csomagoló-1","06:51","13:51","MEGR003"
"2020.07.20.","Csomagoló-2","06:51","13:51","MEGR003"
"2020.07.20.","Csomagoló-1","14:00","22:00","MEGR003"
"2020.07.20.","Csomagoló-2","14:00","22:00","MEGR003"
"2020.07.20.","Festő-1","14:00","22:00","MEGR003"
"2020.07.20.","Festő-2","14:00","22:00","MEGR003"
"2020.07.20.","Hajlító-1","14:00","22:00","MEGR003"
"2020.07.20.","Hajlító-2","14:00","22:00","MEGR003"
"2020.07.20.","Hegesztő-1","14:00","22:00","MEGR003"
"2020.07.20.","Hegesztő-2","14:00","22:00","MEGR003"
"2020.07.20.","Tesztelő-1","14:00","22:00","MEGR003"
"2020.07.20.","Vágó-1","14:00","18:30","MEGR003"
"2020.07.20.","Vágó-2","14:00","18:30","MEGR003"
"2020.07.21.","Csomagoló-1","06:00","14:00","MEGR003"
"2020.07.21.","Csomagoló-2","06:00","14:00","MEGR003"
"2020.07.21.","Festő-1","06:00","14:00","MEGR003"
"2020.07.21.","Festő-2","06:00","14:00","MEGR003"
"2020.07.21.","Hajlító-1","06:00","14:00","MEGR003"
"2020.07.21.","Hajlító-2","06:00","14:00","MEGR003"
"2020.07.21.","Hegesztő-1","06:00","11:20","MEGR003"
"2020.07.21.","Hegesztő-2","06:00","11:20","MEGR003"
"2020.07.21.","Tesztelő-1","06:00","11:25","MEGR003"
"2020.07.21.","Csomagoló-1","14:00","16:00","MEGR003"
"2020.07.21.","Csomagoló-2","14:00","16:00","MEGR003"
"2020.07.21.","Festő-1","14:00","22:00","MEGR003"
"2020.07.21.","Festő-2","14:00","22:00","MEGR003"
"2020.07.21.","Hajlító-1","14:00","21:30","MEGR003"
"2020.07.21.","Hajlító-2","14:00","21:30","MEGR003"
"2020.07.21.","Vágó-1","21:50","21:56","MEGR010"
"2020.07.21.","Vágó-2","21:50","21:56","MEGR010"
"2020.07.21.","Hajlító-1","21:56","21:56","MEGR010"
"2020.07.21.","Hajlító-2","21:56","21:56","MEGR010"
"2020.07.22.","Hajlító-1","06:00","14:00","MEGR010"
"2020.07.22.","Hajlító-2","06:00","14:00","MEGR010"
"2020.07.22.","Hegesztő-1","06:00","14:00","MEGR010"
"2020.07.22.","Hegesztő-2","06:00","14:00","MEGR010"
"2020.07.22.","Vágó-1","06:00","13:00","MEGR010"
"2020.07.22.","Vágó-2","06:00","13:00","MEGR010"
"2020.07.22.","Tesztelő-1","06:10","14:00","MEGR010"
"2020.07.22.","Festő-1","06:15","14:00","MEGR010"
"2020.07.22.","Festő-2","06:15","14:00","MEGR010"
"2020.07.22.","Csomagoló-1","06:30","13:54","MEGR010"
"2020.07.22.","Csomagoló-2","06:30","13:54","MEGR010"
"2020.07.22.","Csomagoló-1","14:00","20:48","MEGR010"
"2020.07.22.","Csomagoló-2","14:00","20:48","MEGR010"
"2020.07.22.","Festő-1","14:00","22:00","MEGR010"
"2020.07.22.","Festő-2","14:00","22:00","MEGR010"
"2020.07.22.","Hajlító-1","14:00","22:00","MEGR010"
"2020.07.22.","Hajlító-2","14:00","22:00","MEGR010"
"2020.07.22.","Hegesztő-1","14:00","17:50","MEGR010"
"2020.07.22.","Hegesztő-2","14:00","17:50","MEGR010"
"2020.07.22.","Tesztelő-1","14:00","18:00","MEGR010"
"2020.07.23.","Festő-1","06:00","08:00","MEGR010"
"2020.07.23.","Festő-2","06:00","08:00","MEGR010"
"2020.07.23.","Hajlító-1","06:00","07:45","MEGR010"
"2020.07.23.","Hajlító-2","06:00","07:45","MEGR010"
"2020.07.23.","Vágó-1","08:10","13:54","MEGR004"
"2020.07.23.","Vágó-2","08:10","13:54","MEGR004"
"2020.07.23.","Vágó-3","08:10","13:54","MEGR004"
"2020.07.23.","Vágó-4","08:10","13:54","MEGR004"
"2020.07.23.","Hajlító-1","08:18","13:54","MEGR004"
"2020.07.23.","Hajlító-2","08:18","13:54","MEGR004"
"2020.07.23.","Hegesztő-1","08:34","13:58","MEGR004"
"2020.07.23.","Hegesztő-2","08:34","13:58","MEGR004"
"2020.07.23.","Hegesztő-3","08:34","13:58","MEGR004"
"2020.07.23.","Tesztelő-1","08:46","13:56","MEGR004"
"2020.07.23.","Festő-1","08:51","13:51","MEGR004"
"2020.07.23.","Festő-2","08:51","13:51","MEGR004"
"2020.07.23.","Festő-3","08:51","13:51","MEGR004"
"2020.07.23.","Festő-4","08:51","13:51","MEGR004"
"2020.07.23.","Csomagoló-1","09:11","13:56","MEGR004"
"2020.07.23.","Csomagoló-2","09:11","13:56","MEGR004"
"2020.07.23.","Csomagoló-3","09:11","13:56","MEGR004"
"2020.07.23.","Csomagoló-1","14:00","22:00","MEGR004"
"2020.07.23.","Csomagoló-2","14:00","22:00","MEGR004"
"2020.07.23.","Csomagoló-3","14:00","22:00","MEGR004"
"2020.07.23.","Festő-1","14:00","22:00","MEGR004"
"2020.07.23.","Festő-2","14:00","22:00","MEGR004"
"2020.07.23.","Festő-3","14:00","22:00","MEGR004"
"2020.07.23.","Festő-4","14:00","22:00","MEGR004"
"2020.07.23.","Hajlító-1","14:00","22:00","MEGR004"
"2020.07.23.","Hajlító-2","14:00","22:00","MEGR004"
"2020.07.23.","Hegesztő-1","14:00","22:00","MEGR004"
"2020.07.23.","Hegesztő-2","14:00","22:00","MEGR004"
"2020.07.23.","Hegesztő-3","14:00","22:00","MEGR004"
"2020.07.23.","Tesztelő-1","14:00","22:00","MEGR004"
"2020.07.23.","Vágó-1","14:00","22:00","MEGR004"
"2020.07.23.","Vágó-2","14:00","22:00","MEGR004"
"2020.07.23.","Vágó-3","14:00","22:00","MEGR004"
"2020.07.23.","Vágó-4","14:00","22:00","MEGR004"
"2020.07.24.","Csomagoló-1","06:00","14:00","MEGR004"
"2020.07.24.","Csomagoló-2","06:00","14:00","MEGR004"
"2020.07.24.","Csomagoló-3","06:00","14:00","MEGR004"
"2020.07.24.","Festő-1","06:00","14:00","MEGR004"
"2020.07.24.","Festő-2","06:00","14:00","MEGR004"
"2020.07.24.","Festő-3","06:00","14:00","MEGR004"
"2020.07.24.","Festő-4","06:00","14:00","MEGR004"
"2020.07.24.","Hajlító-1","06:00","14:00","MEGR004"
"2020.07.24.","Hajlító-2","06:00","14:00","MEGR004"
"2020.07.24.","Hegesztő-1","06:00","14:00","MEGR004"
"2020.07.24.","Hegesztő-2","06:00","14:00","MEGR004"
"2020.07.24.","Hegesztő-3","06:00","14:00","MEGR004"
"2020.07.24.","Tesztelő-1","06:00","14:00","MEGR004"
"2020.07.24.","Vágó-1","06:00","14:00","MEGR004"
"2020.07.24.","Vágó-2","06:00","14:00","MEGR004"
